,Knows,Uses,Wants,Loyal,Trendy,Jobs
JavaScript,0,0,0,0,0,118
Java,0,0,0,0,0,224
PHP,0,0,0,0,0,46
Python,0,0,0,0,0,24
Ruby,0,0,0,0,0,33
C#,0,0,0,0,0,178
C++,0,0,0,0,0,60
C,0,0,0,0,0,70
Objective-C,0,0,0,0,0,6
Perl,0,0,0,0,0,33
Shell,0,0,0,0,0,4
Scala,0,0,0,0,0,8
ASP,0,0,0,0,0,78
Haskell,0,0,0,0,0,0
Assembly,0,0,0,0,0,1
ActionScript,0,0,0,0,0,0
R,0,0,0,0,0,0
CoffeScript,0,0,0,0,0,0
Visual Basic,0,0,0,0,0,3
MATLAB,0,0,0,0,0,0
Groovy,0,0,0,0,0,6
Clojure,0,0,0,0,0,1
Go,0,0,0,0,0,0
Erlang,0,0,0,0,0,0
